snapshot,category,scope,rank,brand,vendor,avg_monthly_searches,share_pct,mom_pct,yoy_pct
2026-07,seo,TR,6,"Ubersuggest","Keyword research",1900,2.3,-31.6,-45.8
2026-07,seo,TR,7,"Moz","All-in-one",1600,1.9,18.8,0
2026-07,seo,TR,8,"Screaming Frog","Crawler",1000,1.2,0,-12
2026-07,seo,TR,9,"AnswerThePublic","Keyword research",720,0.9,0,-33
2026-07,seo,TR,10,"Surfer SEO","Content SEO",390,0.5,-17.9,-33.3
2026-07,seo,TR,11,"Rank Math","WordPress plugin",390,0.5,0,-18.7
2026-07,seo,TR,12,"SE Ranking","Rank tracking",320,0.4,0,0
2026-07,seo,TR,13,"SpyFu","Competitor research",260,0.3,0,-34.4
2026-07,seo,TR,14,"Yoast","WordPress plugin",170,0.2,-21.4,-35.3
2026-07,seo,TR,15,"Mangools","Keyword research",140,0.2,22.2,0
2026-07,seo,TR,16,"BrightEdge","Enterprise",40,0,0,-60
2026-07,seo,VN,1,"Google Search Console","Free · Google",60500,61.8,0,0
2026-07,seo,VN,2,"Semrush","All-in-one",14800,15.1,22.3,0
2026-07,seo,VN,3,"Similarweb","Traffic analytics",9900,10.1,0,-33.1
2026-07,seo,VN,4,"Ahrefs","All-in-one",5400,5.5,0,-18.2
2026-07,seo,VN,5,"Screaming Frog","Crawler",1600,1.6,-20.8,18.8
2026-07,seo,VN,6,"Ubersuggest","Keyword research",1300,1.3,0,-37.5
2026-07,seo,VN,7,"AnswerThePublic","Keyword research",1000,1,0,-32.3
2026-07,seo,VN,8,"GTmetrix","Page speed",880,0.9,-18.2,-28
2026-07,seo,VN,9,"Moz","All-in-one",590,0.6,23.1,-18.6
2026-07,seo,VN,10,"SE Ranking","Rank tracking",480,0.5,0,50
2026-07,seo,VN,11,"Surfer SEO","Content SEO",480,0.5,0,-33.9
2026-07,seo,VN,12,"Rank Math","WordPress plugin",390,0.4,-17.9,-33.3
2026-07,seo,VN,13,"SpyFu","Competitor research",210,0.2,0,0
2026-07,seo,VN,14,"Mangools","Keyword research",210,0.2,0,0
2026-07,seo,VN,15,"Yoast","WordPress plugin",70,0.1,0,-22.2
2026-07,seo,VN,16,"BrightEdge","Enterprise",30,0,0,-33.3
2026-07,seo,PL,1,"Google Search Console","Free · Google",74000,68.6,0,22.3
2026-07,seo,PL,2,"Ahrefs","All-in-one",6600,6.1,0,-18.5
2026-07,seo,PL,3,"Similarweb","Traffic analytics",6600,6.1,0,-18.2
2026-07,seo,PL,4,"Semrush","All-in-one",5400,5,0,-33.3
2026-07,seo,PL,5,"AnswerThePublic","Keyword research",3600,3.3,-34.5,-56.8
2026-07,seo,PL,6,"Ubersuggest","Keyword research",2400,2.2,-15.8,-55.6
2026-07,seo,PL,7,"Surfer SEO","Content SEO",2400,2.2,-15.8,-55.6
2026-07,seo,PL,8,"Screaming Frog","Crawler",1600,1.5,-18.7,-18.7
2026-07,seo,PL,9,"Moz","All-in-one",1600,1.5,0,46.2
2026-07,seo,PL,10,"GTmetrix","Page speed",1600,1.5,-23.1,-47.4
2026-07,seo,PL,11,"SE Ranking","Rank tracking",1000,0.9,0,0
2026-07,seo,PL,12,"Rank Math","WordPress plugin",390,0.4,-17.9,0
2026-07,seo,PL,13,"SpyFu","Competitor research",260,0.2,-19,-46.9
2026-07,seo,PL,14,"Yoast","WordPress plugin",210,0.2,-34.6,-19
2026-07,seo,PL,15,"Mangools","Keyword research",140,0.1,27.3,0
2026-07,seo,PL,16,"BrightEdge","Enterprise",70,0.1,-40,-78.6
2026-07,seo,SG,1,"Google Search Console","Free · Google",18100,51.8,22.1,49.7
2026-07,seo,SG,2,"Semrush","All-in-one",5400,15.4,0,0
2026-07,seo,SG,3,"Similarweb","Traffic analytics",4400,12.6,-18.2,-18.2
2026-07,seo,SG,4,"Ahrefs","All-in-one",2900,8.3,0,-19.4
2026-07,seo,SG,5,"Ubersuggest","Keyword research",1000,2.9,13.6,-23.1
2026-07,seo,SG,6,"AnswerThePublic","Keyword research",880,2.5,22.2,-12
2026-07,seo,SG,7,"GTmetrix","Page speed",480,1.4,-17.9,-45.8
2026-07,seo,SG,8,"Screaming Frog","Crawler",390,1.1,-18.7,-18.7
2026-07,seo,SG,9,"Moz","All-in-one",320,0.9,-18.7,-45.8
2026-07,seo,SG,10,"Surfer SEO","Content SEO",320,0.9,-19.2,-34.4
2026-07,seo,SG,11,"SE Ranking","Rank tracking",260,0.7,23.1,0
2026-07,seo,SG,12,"SpyFu","Competitor research",170,0.5,0,-47.6
2026-07,seo,SG,13,"Rank Math","WordPress plugin",140,0.4,-21.4,-35.3
2026-07,seo,SG,14,"Mangools","Keyword research",90,0.3,0,-22.2
2026-07,seo,SG,15,"Yoast","WordPress plugin",70,0.2,40,0
2026-07,seo,SG,16,"BrightEdge","Enterprise",50,0.1,25,0
2026-07,seo,SA,1,"Google Search Console","Free · Google",12100,57.6,0,22.3
2026-07,seo,SA,2,"Semrush","All-in-one",2900,13.8,0,0
2026-07,seo,SA,3,"Similarweb","Traffic analytics",1900,9,0,-31.6
2026-07,seo,SA,4,"Ahrefs","All-in-one",1300,6.2,0,-32.3
2026-07,seo,SA,5,"Ubersuggest","Keyword research",720,3.4,-18.6,-45.5
2026-07,seo,SA,6,"AnswerThePublic","Keyword research",590,2.8,0,0
2026-07,seo,SA,7,"GTmetrix","Page speed",480,2.3,23.1,-18.6
2026-07,seo,SA,8,"Moz","All-in-one",320,1.5,-18.7,-33.3
2026-07,seo,SA,9,"Screaming Frog","Crawler",170,0.8,-17.6,-17.6
2026-07,seo,SA,10,"Surfer SEO","Content SEO",170,0.8,-35.7,-57.1
2026-07,seo,SA,11,"SpyFu","Competitor research",90,0.4,40,-36.4
2026-07,seo,SA,12,"Rank Math","WordPress plugin",90,0.4,28.6,0
2026-07,seo,SA,13,"SE Ranking","Rank tracking",70,0.3,0,0
2026-07,seo,SA,14,"Mangools","Keyword research",50,0.2,0,-20
2026-07,seo,SA,15,"Yoast","WordPress plugin",40,0.2,33.3,-20
